athlete,avg_hr,avg_power,backend_status,category,classification_confidence,duration_min,file,has_hr,has_power,has_rr,intensity_factor,normalized_power,profile_curve_updated,quality_score,subtype,tss
Adriano,114.1,129.0,success,FREE,0.45,130.9,Karoo-Morning_Ride-2025-11-15-1121.fit,True,True,False,0.854,183.4,True,0.82,race,159.2
Adriano,102.3,114.4,success,FREE,0.45,209.4,Karoo-Morning_Ride-2025-12-31-0913.fit,True,True,False,0.764,164.2,True,0.7,race,203.9
Adriano,,84.1,success,FREE,0.45,155.1,Karoo-Morning_Ride-2026-04-06-1031.fit,False,True,False,0.727,156.1,True,0.7,race,136.5
Adriano,67.3,58.9,success,FREE,0.45,271.4,Karoo-Morning_Ride-2026-04-12-1129.fit,True,True,False,0.696,149.6,True,0.49,race,219.4
Adriano,97.3,99.3,success,FREE,0.45,185.7,Karoo-Morning_Ride-2026-04-19-0835.fit,True,True,False,0.759,163.1,True,0.7,race,178.5
Alessio,155.3,192.3,success,TEST,0.6,90.4,22337073556_ACTIVITY.fit,True,True,False,1.013,218.1,True,1.0,mixed_test,154.6
Alessio,154.0,189.7,success,TEST,0.6,130.3,22499265976_ACTIVITY.fit,True,True,False,1.009,217.3,True,1.0,mixed_test,221.2
Alessio,153.8,182.3,success,TEST,0.6,103.0,22569469204_ACTIVITY.fit,True,True,False,1.039,223.8,True,1.0,mixed_test,185.4
Alessio,149.6,180.5,success,TEST,0.6,116.6,22656339374_ACTIVITY.fit,True,True,False,1.013,218.1,True,1.0,mixed_test,199.4
Alessio,107.2,129.6,success,TEST,0.6,126.0,22717059750_ACTIVITY.fit,True,True,False,0.843,181.4,True,0.76,mixed_test,149.1
Alessio,103.5,121.0,success,FREE,0.45,170.8,22722765342_ACTIVITY.fit,True,True,False,0.852,183.5,True,0.7,race,206.9
LELE,136.5,125.2,success,TEST,0.6,234.8,2026-03-21-08-25-47.fit,True,True,False,0.769,173.0,True,0.82,mixed_test,231.6
LELE,77.5,63.3,success,FREE,0.45,103.0,2026-03-23-18-07-40.fit,True,True,False,0.47,105.7,True,0.61,race,37.9
LELE,129.2,140.3,success,FREE,0.45,280.2,2026-03-27-08-44-16.fit,True,True,False,0.796,179.1,True,0.7,race,296.1
LELE,70.0,36.7,success,FREE,0.45,132.9,2026-03-28-14-08-06.fit,True,True,False,0.412,92.7,True,0.49,race,37.6
LELE,124.3,130.3,success,UNCLASSIFIED,0.3,20.2,2026-03-29-10-45-09.fit,True,True,False,0.733,164.9,True,0.82,unknown,18.2
LELE,155.3,173.4,success,TEST,0.6,90.4,2026-03-29-11-37-36.fit,True,True,False,0.957,215.3,True,1.0,mixed_test,138.1
LELE,125.9,130.6,success,TEST,0.6,323.7,2026-04-03-08-53-10.fit,True,True,False,0.825,185.5,True,0.7,mixed_test,366.9
LELE,,167.2,success,HIIT,0.45,85.0,2026-04-07-18-13-21.fit,False,True,False,0.852,191.7,True,0.94,hiit_unspecified,102.9
LELE,55.7,36.0,success,FREE,0.45,103.0,2026-04-08-18-08-47.fit,True,True,False,0.382,85.9,True,0.49,race,25.0
LELE,119.3,132.1,success,FREE,0.45,254.0,2026-04-10-08-33-45.fit,True,True,False,0.767,172.5,True,0.7,race,249.0
LELE,151.8,177.7,success,TEST,0.6,259.7,2026-04-12-07-28-56.fit,True,True,False,0.917,206.3,True,0.94,mixed_test,364.1
LELE,122.5,106.7,success,TEST,0.55,24.6,2026-04-18-10-48-44.fit,True,True,False,0.669,150.4,True,0.88,sprint_set,18.4
LELE,159.8,158.8,success,TEST,0.6,100.0,2026-04-18-11-32-02.fit,True,True,False,0.855,192.3,True,1.0,mixed_test,121.7
davide,132.9,153.7,success,UNCLASSIFIED,0.3,329.3,22326086752_ACTIVITY.fit,True,True,False,0.724,183.1,True,0.85,unknown,287.8
davide,119.0,,success,STEADY,0.55,202.1,22336468745_ACTIVITY.fit,True,False,False,,,False,0.7,endurance_z2,
davide,124.8,149.7,success,STEADY,0.55,113.6,22362511484_ACTIVITY.fit,True,True,False,0.692,174.9,True,1.0,endurance_z2,90.5
davide,132.4,,success,STEADY,0.55,306.5,22381194596_ACTIVITY.fit,True,False,False,,,False,0.7,endurance_z2,
davide,107.9,118.2,success,STEADY,0.55,79.2,22390108632_ACTIVITY.fit,True,True,False,0.507,128.1,True,1.0,endurance_z2,33.9
davide,115.9,,success,STEADY,0.55,329.8,22403844279_ACTIVITY.fit,True,False,False,,,False,0.64,endurance_z2,
davide,113.0,124.0,success,STEADY,0.55,91.0,22418935038_ACTIVITY.fit,True,True,False,0.522,132.0,True,1.0,endurance_z2,41.3
davide,130.4,165.0,success,FREE,0.45,388.6,22438621267_ACTIVITY.fit,True,True,False,0.787,198.9,True,0.7,race,400.7
