athlete,engine,errors,key_output,scope,skipped,status,successes,warning
Adriano,neural_ode,0,"{""pd_points"": 5, ""delta"": [0.0, 0.0]}",athlete,0,success,0,
Adriano,hrv_engine,0,,activity,31,skipped_no_rr,0,
Adriano,cardiac_engine,0,,activity,13,success,18,
Adriano,thermal_engine,0,,activity,31,skipped_no_body_temperature,0,
Adriano,pedaling_balance,0,,activity,11,success,20,
Adriano,heat_acclimation,0,"{""n_sessions"": 0, ""notes"": [""Only 0 sessions with thermal data. Need \u22653 for trend.""], ""tier"": ""MODEL""}",athlete,0,skipped_no_body_temperature,0,
Alessio,fit_parser,0,,activity,0,success,6,
Alessio,data_quality_engine,0,,activity,0,success,6,
Alessio,power_engine,0,,activity,0,success,6,
Alessio,interval_detector,0,,activity,0,success,6,
Alessio,durability_engine,0,,activity,0,success,6,
Alessio,np_drift,0,,activity,0,success,6,
Alessio,hourly_decay_curve,0,,activity,0,success,6,
Alessio,zones_engine,0,,activity,0,success,6,
Alessio,workout_summary,0,,activity,0,success,6,
Alessio,mmp_quality,0,,athlete,0,success,0,
Alessio,mmp_aggregator,0,"{""mmp_points"": 21}",athlete,0,success,6,
Alessio,metabolic_profiler,0,"{""vo2max"": 43.2, ""vlamax"": 0.496, ""mlss"": 210.0}",athlete,0,success,0,
Alessio,coggan_classifier,0,"{""phenotype_code"": ""ALL_ROUNDER"", ""phenotype_description"": ""All-rounder. No single duration dominates \u2014 balanced across the neuromuscular / anaerobic / VO\u2082max / threshold spectrum."", ""average_tier_score"": 1.0, ""n_durations_used"": 4}",athlete,0,success,0,
Alessio,efforts_analyzer,0,"{""efforts"": 9}",athlete,0,success,0,
Alessio,chart_builder,0,line_scatter,athlete,0,success,0,
Alessio,metabolic_flexibility_engine,0,"{""mfi"": 0.5, ""fat_ox"": 0.1}",athlete,0,success,0,
Alessio,cross_validation_engine,0,"{""tier"": ""MODEL"", ""coherent"": true, ""checks_performed"": [""aerobic_floor"", ""threshold_band""], ""warnings"": [], ""threshold_coherence"": {""observed_watts"": 201.8, ""predicted_watts"": 210.0, ""error_watts"": 8.2, ""error_pct"": 4.1}, ""coherence_penalty"": 0.0, ""suspected_outlier"": null}",athlete,0,success,0,
Alessio,bayesian_profiler,0,"{""confidence"": 0.36}",athlete,0,success,0,
Alessio,metabolic_kalman,0,"{""date"": ""2026-05-01"", ""vo2max"": 48.4, ""vo2max_std"": 1.02, ""vo2max_ci95"": [46.4, 50.4], ""vlamax"": 0.5163, ""vlamax_std"": 0.2534, ""mlss_watts"": null, ""fatmax_watts"": null, ""map_watts"": null, ""observation_applied"": false, ""stimulus_applied"": {""vo2max_min"": 16.4, ""vlamax_min"": 10.7, ""vo2_decay"": -0.0, ""vla_decay"": -0.0, ""vo2_adapt"": 0.158, ""vla_adapt"": 0.0008}}",athlete,0,success,0,
Alessio,training_variability_engine,0,"{""acwr"": 3.02, ""monotony"": null}",athlete,0,success,0,
Alessio,detraining_engine,0,"{""ctl"": 20.5, ""atl"": 62.0, ""tsb"": -41.5, ""days_since_last_workout"": 0, ""status"": ""MAINTAINING""}",athlete,0,success,0,
Alessio,metabolic_current,0,"{""current_vo2max"": 39.9, ""current_mlss_watts"": 185.0}",athlete,0,success,0,
Alessio,chart_builder_training_load,0,line_multi,athlete,0,success,0,
Alessio,neural_ode,0,"{""pd_points"": 5, ""delta"": [0.0, 0.0]}",athlete,0,success,0,
Alessio,hrv_engine,0,,activity,6,skipped_no_rr,0,
Alessio,cardiac_engine,0,,activity,0,success,6,
Alessio,thermal_engine,0,,activity,6,skipped_no_body_temperature,0,
Alessio,pedaling_balance,0,,activity,3,success,3,
Alessio,heat_acclimation,0,"{""n_sessions"": 0, ""notes"": [""Only 0 sessions with thermal data. Need \u22653 for trend.""], ""tier"": ""MODEL""}",athlete,0,skipped_no_body_temperature,0,
LELE,fit_parser,0,,activity,0,success,13,
LELE,data_quality_engine,0,,activity,0,success,13,
LELE,power_engine,0,,activity,0,success,13,
LELE,interval_detector,0,,activity,0,success,13,
LELE,durability_engine,0,,activity,0,success,13,
LELE,np_drift,0,,activity,0,success,13,
LELE,hourly_decay_curve,0,,activity,0,success,13,
LELE,zones_engine,0,,activity,0,success,13,
LELE,workout_summary,0,,activity,0,success,13,
LELE,mmp_quality,0,,athlete,0,success,0,
LELE,mmp_aggregator,0,"{""mmp_points"": 21}",athlete,0,success,13,
LELE,metabolic_profiler,0,"{""vo2max"": 42.0, ""vlamax"": 0.4825, ""mlss"": 205.0}",athlete,0,success,0,
